listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,5,2,2,1400
Entire home/apt,5,2,1,1890
Entire home/apt,4.5,2,1,1410
Private room,5,1,1,650
Entire home/apt,4.5,1,1,790
Entire home/apt,5,2,1,1500
Entire home/apt,5,2,1,1500
Entire home/apt,5,1,1,500
Entire home/apt,5,1,1,800
Private room,5,1,1,800
Entire home/apt,5,0,1,820
Entire home/apt,,2,1,1310
Entire home/apt,5,2,1.5,2500
Entire home/apt,5,1,1,700
Entire home/apt,5,1,1.5,1950
Private room,5,1,1,790
Entire home/apt,5,1,1,1250
Entire home/apt,4.5,2,2,1450
Entire home/apt,5,2,1,1500
Entire home/apt,5,1,1,1500
Entire home/apt,5,1,1.5,1390
Entire home/apt,5,1,1,830
Entire home/apt,4.5,1,1,1500
Entire home/apt,5,1,1,800
Entire home/apt,,3,3,1750
Entire home/apt,5,0,1,750
Entire home/apt,5,3,2,5990
Private room,4.5,1,1,500
Entire home/apt,5,4,3,850
Entire home/apt,5,1,1,2950
Entire home/apt,5,3,3,3500
Private room,5,1,1.5,600
Private room,5,1,1,330
Entire home/apt,4.5,2,1,1590
Entire home/apt,,4,2,1400
Entire home/apt,5,1,1,1000
Private room,,1,2.5,2250
Entire home/apt,5,2,1.5,2200
Entire home/apt,4.5,1,1,750
Private room,5,1,1,850
Entire home/apt,5,2,1,1600
Private room,5,1,1,750
Entire home/apt,5,1,1,800
Entire home/apt,4.5,3,1,1480
Private room,5,1,1,380
Entire home/apt,5,2,1,790
Entire home/apt,5,1,1,2050
Private room,5,1,1,400
Private room,5,1,1,1400
Entire home/apt,5,2,1,1030
Entire home/apt,4.5,1,1,640
Entire home/apt,4.5,1,1,1750
Entire home/apt,5,1,1,1250
Entire home/apt,4.5,1,1,500
Private room,4.5,1,1,1000
Entire home/apt,5,1,1,990
Entire home/apt,,0,1,630
